name,neighborhood,artist,address,created_date,thumbnail_url,medium_url,full_url,latitude,longitude
Somerville mural,Spring Hill,"","211 Summer St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0757.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0757.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0757.jpg,42.3882536,-71.1102277
Conway Park Cut-Outs,Spring Hill,"","570 Somerville Ave, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0941.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0941.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0941.jpg,42.3836127,-71.108266
Big Fish Little Fish,Spring Hill,Matt Clark and Darryl Delude,"55 Elm St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0624.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0624.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0624.jpg,42.3882071,-71.1155362
Geometric Pattern,Spring Hill,Blake Roberts,457 Somerville Ave,"Sat, 2011-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/Blake_Roberts2011profilesmall.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/Blake_Roberts2011profilesmall.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/Blake_Roberts2011profilesmall.jpg,42.38238399999999,-71.103189
girl mural,Spring Hill,"","94 Lowell St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0454.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0454.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0454.jpg,42.3877296,-71.1096908
Windows to an Underground World,Spring Hill,Tova Speter and students,"643 Somerville Ave, Somerville, MA","Wed, 2005-06-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/LowellStMural1.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/LowellStMural1.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/LowellStMural1.jpg,42.3845284,-71.11167449999999
Seasons,Spring Hill,Sarah Reed,669 Somerville Ave.,"Sat, 2011-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/sarareedsmall.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/sarareedsmall.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/sarareedsmall.jpg,42.3848923,-71.1123996
Cracked holes,Spring Hill,Ryan McEntee,"271 Highland Ave , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/mcenteesmall.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/mcenteesmall.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/mcenteesmall.jpg,42.391897,-71.1110999
Peace,Spring Hill,Shepard Fairey,691 Somerville Avenue,"",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0690.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0690.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0690.jpg,42.385698,-71.11316529999999
big bug,Spring Hill,"","63 Elm St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0691.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0691.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0691.jpg,42.388519,-71.1155689
